Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Olfr60,Lym,8.969930763,5.17E-49
Sit1,Lym,8.391933802,5.17E-49
Traj12,Lym,8.310595267,5.20E-49
Gzmb,Lym,8.100124567,4.20E-44
Iglv1,Lym,8.989177852,7.77E-44
Igkv1-110,Lym,9.967919167,3.04E-41
Gm31887,Lym,9.636068523,3.04E-41
Tcrg-V6,Lym,7.819048413,8.54E-36
1700062C10Rik,Lym,9.039421959,4.69E-30
Olfr164,Lym,8.832848015,6.20E-30
Gm48719,Lym,8.514205937,6.20E-30
Adam6b,Lym,8.44929332,6.20E-30
Gm37068,Lym,8.044261341,3.88E-23
Tcrg-C2,Lym,7.799550041,3.90E-23
Gm13403,Schwann,13.70711925,0
Sox2,Schwann,13.68163294,0
Kcna1,Schwann,12.45462969,0
Gm12688,Schwann,12.35016586,0
Sox10,Schwann,11.77172801,0
Slitrk6,Schwann,11.59386672,0
Foxd3,Schwann,11.25409761,0
Gjc3,Schwann,10.96614161,0
Gfra3,Schwann,10.89848731,0
Kcna6,Schwann,10.53860447,0
Cnksr2,Schwann,10.52293465,0
Sostdc1,Schwann,10.46794731,0
Kcna2,Schwann,9.960046213,0
Cadm2,Schwann,9.935730468,0
Gpr37l1,Schwann,9.9306784,0
Rasgef1c,Schwann,9.89261593,0
Paqr6,Schwann,9.876846968,0
Ptprz1,Schwann,9.400558331,0
Insc,Schwann,9.013988631,0
Stk32a,Schwann,8.884836728,0
Gm2115,Schwann,8.633312664,0
Chl1,Schwann,8.574206789,0
Gm36356,Schwann,12.65561096,8.44E-296
Gm45869,Schwann,12.45018959,8.44E-296
Kcnh8,Schwann,8.421304701,4.07E-288
Sema4f,Schwann,8.881199992,8.45E-279
Erbb3,Schwann,7.72112618,8.16E-277
Plp1,Schwann,7.91039115,1.01E-274
Sfrp5,Schwann,8.976238272,7.99E-262
Ntng1,Schwann,8.221030551,1.03E-258
Pex5l,Schwann,8.136788212,2.93E-246
Epb41l4b,Schwann,7.816463961,9.47E-240
Cmtm5,Schwann,9.324418774,2.34E-235
Slc35f1,Schwann,8.434157274,9.07E-227
Cfap100,Schwann,8.171839806,8.81E-211
Igsf11,Schwann,7.908593434,2.60E-188
Tfap2a,Schwann,10.05924245,2.97E-180
Nrn1,Schwann,7.117076018,2.22E-179
Gal3st1,Schwann,8.315677114,9.78E-166
Adam11,Schwann,7.672448335,2.68E-161
Vmn1r178,Schwann,12.19019107,1.05E-146
A930002I21Rik,Schwann,11.61837821,1.05E-146
Rncr4,Schwann,11.30319279,1.05E-146
Olfr1163,Schwann,10.71727922,1.05E-146
Acsbg1,Schwann,7.450272855,3.56E-137
Gm10863,Schwann,7.057354002,7.14E-130
Mlph,Schwann,7.134882147,1.16E-119
Ndst3,Schwann,7.063563121,7.77E-116
Unc80,Schwann,8.786706307,3.43E-109
Grik3,Schwann,7.37048494,2.27E-108
Csmd1,Schwann,8.161711203,4.56E-100
A330049N07Rik,Schwann,8.836458877,5.68E-100
Ajap1,Schwann,7.173052441,1.35E-99
Igsf21,Schwann,7.340655373,1.10E-91
C130071C03Rik,Schwann,7.546655238,1.35E-78
Vmn1r181,Schwann,10.73679164,6.71E-72
Tex28,Schwann,9.906729421,6.71E-72
Olfr736,Schwann,9.783651275,6.71E-72
4933417A18Rik,Schwann,9.389013274,7.01E-72
4930505M18Rik,Schwann,9.122533193,7.01E-72
Krt40,Schwann,8.918783653,7.01E-72
Gfap,Schwann,8.529049027,1.62E-71
Pax3,Schwann,7.598372103,3.71E-71
Plxnb3,Schwann,6.987635559,2.21E-64
Pou3f1,Schwann,8.3515558,3.11E-50
Gm2453,Schwann,7.818977367,6.69E-47
C130021I20Rik,Schwann,7.153048754,2.32E-39
Ttc22,Schwann,9.216446499,2.02E-34
Olfr1507,Schwann,8.591097245,2.02E-34
Toporsl,Schwann,8.632730109,2.06E-34
Gm13110,Schwann,8.158922411,2.06E-34
Gm47925,Schwann,7.524211087,2.16E-34
Slc6a15,Schwann,9.442232519,6.59E-27
Ly6g6f,Schwann,8.986607758,6.59E-27
Gpha2,Schwann,8.338818173,6.59E-27
Mmd2,Schwann,8.027749844,6.59E-27
Crabp1,Schwann,8.312919812,6.71E-27
Gm45765,Schwann,7.681747888,6.71E-27
Pcsk2os1,Schwann,7.780919816,6.82E-27
Glipr1l2,Schwann,7.322760471,6.94E-27
Tmprss12,Schwann,7.769304971,6.84E-22
Mog,Schwann,7.307700015,7.25E-22
Gm11682,Schwann,8.161797937,2.65E-18
2810049E08Rik,Schwann,8.417449198,1.31E-15
Glt6d1,Schwann,7.031903661,1.36E-15
Gdnf,Schwann,7.814243792,1.67E-13
Oxtr,Schwann,8.240646594,7.93E-12
Erfe,Schwann,7.343307865,7.93E-12
Adh7,Schwann,7.339629868,7.93E-12
Gm31371,Schwann,7.343019121,8.00E-12
Pantr1,Schwann,7.058115999,8.07E-12
Gm48968,Schwann,7.036656733,8.07E-12
1700112J05Rik,Schwann,7.516380214,1.89E-10
Rbpjl,Schwann,8.45822292,2.67E-09
Slc13a5,Schwann,7.364820169,2.53E-08
Rufy4,Schwann,7.040156435,2.53E-08
Tfap2b,Schwann,7.734078189,1.73E-07
AI197445,Schwann,7.031034441,9.18E-07
